epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3371,3.43133,7.51637,3.21009,0,0,0,0,2.11781,5.26902,2.4702,0.0001,0.0001,0.0001
2,47.7218,3.28605,6.55173,2.94414,0.0119,1,0.07654,0.00765,1.60126,4.7307,2.50503,0.000191463,0.000191463,0.000191463
3,69.2222,2.59378,5.61758,2.26243,0.01333,1,0.11056,0.01106,2.20421,4.6595,2.84716,0.00026065,0.00026065,0.00026065
4,90.9174,2.47544,5.63014,2.04311,0.01493,1,0.995,0.0995,1.62422,4.89415,2.45646,0.000307563,0.000307563,0.000307563
5,111.931,2.42391,5.15194,1.95226,0.01538,1,0.995,0.10715,1.66834,4.5748,2.44662,0.0003322,0.0003322,0.0003322
6,132.548,2.36733,4.99828,1.92378,0.01538,1,0.4975,0.0995,2.06813,4.34625,2.22807,0.000334563,0.000334563,0.000334563
7,153.713,2.12148,4.78919,1.76912,0.01961,1,0.4975,0.14925,2.58402,4.55276,2.13107,0.00031465,0.00031465,0.00031465
8,174.548,2.13173,4.59998,1.77656,0.02439,1,0.4975,0.24875,2.40616,4.35557,1.45705,0.000272463,0.000272463,0.000272463
9,195.914,2.04015,4.25888,1.67002,0.02941,1,0.24875,0.12437,1.60695,4.91211,1.30244,0.000208,0.000208,0.000208
10,216.76,2.1149,3.99897,1.73342,0.02941,1,0.24875,0.14925,1.69067,4.54047,1.32051,0.000121262,0.000121262,0.000121262
